date;market_cap;market_cap_Billion
2018-01-01;6,89388E+11;0,69
2018-01-02;7,03326E+11;0,70
2018-01-03;7,17264E+11;0,72
2018-01-04;7,31203E+11;0,73
2018-01-05;7,45141E+11;0,75
2018-01-06;7,59079E+11;0,76
2018-01-07;7,73018E+11;0,77
2018-01-08;7,86956E+11;0,79
2018-01-09;7,77164E+11;0,78
2018-01-10;7,67373E+11;0,77
2018-01-11;7,57581E+11;0,76
2018-01-12;7,4779E+11;0,75
2018-01-13;7,37998E+11;0,74
2018-01-14;7,28206E+11;0,73
2018-01-15;7,18415E+11;0,72
2018-01-16;6,91233E+11;0,69
2018-01-17;6,64052E+11;0,66
2018-01-18;6,36871E+11;0,64
2018-01-19;6,0969E+11;0,61
2018-01-20;5,82508E+11;0,58
2018-01-21;5,55327E+11;0,56
2018-01-22;5,28146E+11;0,53
2018-01-23;5,20306E+11;0,52
2018-01-24;5,12466E+11;0,51
2018-01-25;5,04626E+11;0,50
2018-01-26;4,96787E+11;0,50
2018-01-27;4,88947E+11;0,49
2018-01-28;4,81107E+11;0,48
2018-01-29;4,73267E+11;0,47
2018-01-30;4,65427E+11;0,47
2018-01-31;4,57587E+11;0,46
2018-02-01;4,49748E+11;0,45
2018-02-02;4,41253E+11;0,44
2018-02-03;4,32759E+11;0,43
2018-02-04;4,24264E+11;0,42
2018-02-05;4,1577E+11;0,42
2018-02-06;4,07275E+11;0,41
2018-02-07;3,9878E+11;0,40
2018-02-08;3,90286E+11;0,39
2018-02-09;4,02585E+11;0,40
2018-02-10;4,14884E+11;0,41
2018-02-11;4,27182E+11;0,43
2018-02-12;4,39481E+11;0,44
2018-02-13;4,5178E+11;0,45
2018-02-14;4,64079E+11;0,46
2018-02-15;4,76378E+11;0,48
2018-02-16;4,70022E+11;0,47
2018-02-17;4,63667E+11;0,46
2018-02-18;4,57311E+11;0,46
2018-02-19;4,50955E+11;0,45
2018-02-20;4,446E+11;0,44
2018-02-21;4,38244E+11;0,44
2018-02-22;4,31889E+11;0,43
2018-02-23;4,35217E+11;0,44
2018-02-24;4,38545E+11;0,44
2018-02-25;4,41873E+11;0,44
2018-02-26;4,45201E+11;0,45
2018-02-27;4,48529E+11;0,45
2018-02-28;4,51857E+11;0,45
2018-03-01;4,55185E+11;0,46
2018-03-02;4,44346E+11;0,44
2018-03-03;4,33508E+11;0,43
2018-03-04;4,22669E+11;0,42
2018-03-05;4,1183E+11;0,41
2018-03-06;4,00992E+11;0,40
2018-03-07;3,90153E+11;0,39
2018-03-08;3,79315E+11;0,38
2018-03-09;3,72711E+11;0,37
2018-03-10;3,66107E+11;0,37
2018-03-11;3,59504E+11;0,36
2018-03-12;3,529E+11;0,35
2018-03-13;3,46297E+11;0,35
2018-03-14;3,39693E+11;0,34
2018-03-15;3,3309E+11;0,33
2018-03-16;3,34214E+11;0,33
2018-03-17;3,35338E+11;0,34
2018-03-18;3,36462E+11;0,34
2018-03-19;3,37586E+11;0,34
2018-03-20;3,3871E+11;0,34
2018-03-21;3,39834E+11;0,34
2018-03-22;3,40958E+11;0,34
2018-03-23;3,32465E+11;0,33
2018-03-24;3,23973E+11;0,32
2018-03-25;3,1548E+11;0,32
2018-03-26;3,06988E+11;0,31
2018-03-27;2,98495E+11;0,30
2018-03-28;2,90002E+11;0,29
2018-03-29;2,8151E+11;0,28
2018-03-30;2,73017E+11;0,27
2018-03-31;2,64525E+11;0,26
2018-04-01;2,56032E+11;0,26
2018-04-02;2,57315E+11;0,26
2018-04-03;2,58598E+11;0,26
2018-04-04;2,59881E+11;0,26
2018-04-05;2,61164E+11;0,26
2018-04-06;2,62447E+11;0,26
2018-04-07;2,6373E+11;0,26
2018-04-08;2,65013E+11;0,27
2018-04-09;2,74928E+11;0,27
2018-04-10;2,84843E+11;0,28
2018-04-11;2,94758E+11;0,29
2018-04-12;3,04673E+11;0,30
2018-04-13;3,14588E+11;0,31
2018-04-14;3,24503E+11;0,32
2018-04-15;3,34419E+11;0,33
2018-04-16;3,42198E+11;0,34
2018-04-17;3,49978E+11;0,35
2018-04-18;3,57757E+11;0,36
2018-04-19;3,65537E+11;0,37
2018-04-20;3,73317E+11;0,37
2018-04-21;3,81096E+11;0,38
2018-04-22;3,88876E+11;0,39
2018-04-23;3,92479E+11;0,39
2018-04-24;3,96081E+11;0,40
2018-04-25;3,99684E+11;0,40
2018-04-26;4,03287E+11;0,40
2018-04-27;4,0689E+11;0,41
2018-04-28;4,10493E+11;0,41
2018-04-29;4,14096E+11;0,41
2018-04-30;4,17698E+11;0,42
2018-05-01;4,21301E+11;0,42
2018-05-02;4,24956E+11;0,42
2018-05-03;4,28612E+11;0,43
2018-05-04;4,32267E+11;0,43
2018-05-05;4,35922E+11;0,44
2018-05-06;4,39577E+11;0,44
2018-05-07;4,43232E+11;0,44
2018-05-08;4,46888E+11;0,45
2018-05-09;4,39356E+11;0,44
2018-05-10;4,31825E+11;0,43
2018-05-11;4,24293E+11;0,42
2018-05-12;4,16762E+11;0,42
2018-05-13;4,0923E+11;0,41
2018-05-14;4,01699E+11;0,40
2018-05-15;3,94167E+11;0,39
2018-05-16;3,85684E+11;0,39
2018-05-17;3,77202E+11;0,38
2018-05-18;3,68719E+11;0,37
2018-05-19;3,60237E+11;0,36
2018-05-20;3,51754E+11;0,35
2018-05-21;3,43272E+11;0,34
2018-05-22;3,34789E+11;0,33
2018-05-23;3,35878E+11;0,34
2018-05-24;3,36967E+11;0,34
2018-05-25;3,38055E+11;0,34
2018-05-26;3,39144E+11;0,34
2018-05-27;3,40232E+11;0,34
2018-05-28;3,41321E+11;0,34
2018-05-29;3,4241E+11;0,34
2018-05-30;3,43498E+11;0,34
2018-05-31;3,44587E+11;0,34
2018-06-01;3,45676E+11;0,35
2018-06-02;3,44275E+11;0,34
2018-06-03;3,42875E+11;0,34
2018-06-04;3,41475E+11;0,34
2018-06-05;3,40075E+11;0,34
2018-06-06;3,38674E+11;0,34
2018-06-07;3,37274E+11;0,34
2018-06-08;3,35874E+11;0,34
2018-06-09;3,28163E+11;0,33
2018-06-10;3,20451E+11;0,32
2018-06-11;3,1274E+11;0,31
2018-06-12;3,05029E+11;0,31
2018-06-13;2,97318E+11;0,30
2018-06-14;2,89606E+11;0,29
2018-06-15;2,81895E+11;0,28
2018-06-16;2,79402E+11;0,28
2018-06-17;2,7691E+11;0,28
2018-06-18;2,74417E+11;0,27
2018-06-19;2,71924E+11;0,27
2018-06-20;2,69431E+11;0,27
2018-06-21;2,66938E+11;0,27
2018-06-22;2,64446E+11;0,26
2018-06-23;2,65992E+11;0,27
2018-06-24;2,67538E+11;0,27
2018-06-25;2,69084E+11;0,27
2018-06-26;2,7063E+11;0,27
2018-06-27;2,72176E+11;0,27
2018-06-28;2,73722E+11;0,27
2018-06-29;2,75268E+11;0,28
2018-06-30;2,76814E+11;0,28
2018-07-01;2,78359E+11;0,28
2018-07-02;2,77801E+11;0,28
2018-07-03;2,77243E+11;0,28
2018-07-04;2,76684E+11;0,28
2018-07-05;2,76126E+11;0,28
2018-07-06;2,75567E+11;0,28
2018-07-07;2,75009E+11;0,28
2018-07-08;2,7445E+11;0,27
2018-07-09;2,75292E+11;0,28
2018-07-10;2,76133E+11;0,28
2018-07-11;2,76975E+11;0,28
2018-07-12;2,77816E+11;0,28
2018-07-13;2,78658E+11;0,28
2018-07-14;2,79499E+11;0,28
2018-07-15;2,80341E+11;0,28
2018-07-16;2,82188E+11;0,28
2018-07-17;2,84036E+11;0,28
2018-07-18;2,85883E+11;0,29
2018-07-19;2,8773E+11;0,29
2018-07-20;2,89578E+11;0,29
2018-07-21;2,91425E+11;0,29
2018-07-22;2,93272E+11;0,29
2018-07-23;2,91291E+11;0,29
