date,name,prices,daily_return,market_caps,global_cap,market_share
2018-01-02,Litecoin,255.048185035276,,13922438464.794,703326000000.0,1.9795142600720006
2018-01-03,Litecoin,248.04219364630376,-0.027469285413668887,13543570836.538822,717264000000.0,1.888226766788633
2018-01-04,Litecoin,244.83437239359276,-0.012932562825521576,13372231051.163412,731203000000.0,1.828798712691744
2018-01-05,Litecoin,254.1385250810076,0.038001823830755344,13884034400.702538,745141000000.0,1.8632761317257454
2018-01-06,Litecoin,289.9300333581779,0.1408346423107698,15843489929.327923,759079000000.0,2.087199083274326
2018-01-07,Litecoin,278.97598168335605,-0.0377817073586485,15248620158.633833,773018000000.0,1.972608679051954
2018-01-08,Litecoin,263.7463834051953,-0.054591073347119545,14419874066.479158,786956000000.0,1.832360902830547
2018-01-09,Litecoin,258.71996457839646,-0.019057773463671324,14148497880.675308,777164000000.0,1.8205292423060393
2018-01-10,Litecoin,253.7921714393668,-0.019046822099948346,13882592428.177885,767373000000.0,1.8091061880178068
2018-01-11,Litecoin,233.34334721111807,-0.08057310874592571,12767423944.488865,757581000000.0,1.6852882984775046
2018-01-12,Litecoin,246.19188649019114,0.05506280522944729,13473776177.28514,747790000000.0,1.8018128321166555
2018-01-13,Litecoin,268.36811528589226,0.09007700908366312,14691318137.257816,737998000000.0,1.9906989093815723
2018-01-14,Litecoin,247.8011550075546,-0.07663712306667914,13569302064.265797,728206000000.0,1.8633878413890845
2018-01-15,Litecoin,241.1518060528049,-0.026833405819060796,13208591715.759275,718415000000.0,1.8385740436599007
2018-01-16,Litecoin,189.47312838641994,-0.2142993598607712,10380883694.789461,691233000000.0,1.5017922603216949
2018-01-17,Litecoin,188.9409013269934,-0.0028089843871743625,10354595856.265894,664052000000.0,1.5593049725421946
2018-01-18,Litecoin,194.75533862933017,0.03077384124612559,10676080235.491467,636871000000.0,1.6763332347510669
2018-01-19,Litecoin,194.58350142038915,-0.0008823234841744965,10669550044.176855,609690000000.0,1.7499959068013013
2018-01-20,Litecoin,214.4069154795011,0.1018761298589459,11759631410.28839,582508000000.0,2.0187931170539097
2018-01-21,Litecoin,191.5864761882356,-0.10643518302676813,10510684678.797459,555327000000.0,1.8927018997450977
2018-01-22,Litecoin,179.92105838110913,-0.060888524280101386,9873313454.878536,528146000000.0,1.8694288047014531
2018-01-23,Litecoin,178.04211170597296,-0.010443172644950649,9772732935.877748,520306000000.0,1.8782664308844697
2018-01-24,Litecoin,178.96961254775655,0.005209446421952757,9826314585.970533,512466000000.0,1.9174568822069236
2018-01-25,Litecoin,179.06314382212614,0.0005226098053077166,9834046329.90862,504626000000.0,1.948779161182464
2018-01-26,Litecoin,175.06149796221538,-0.022347680122749458,9617105451.407614,496787000000.0,1.935860932634633
2018-01-27,Litecoin,179.6483041294699,0.02620111344097209,9871249084.378496,488947000000.0,2.0188791595773155
2018-01-28,Litecoin,191.9302770791985,0.06836676254331442,10549631548.863586,481107000000.0,2.1927828006791805
2018-01-29,Litecoin,179.2810953229547,-0.06590508776801385,9857122566.610882,473267000000.0,2.082782565995702
2018-01-30,Litecoin,177.68852897104085,-0.008883069065620308,9769454452.94601,465427000000.0,2.0990304500912087
2018-01-31,Litecoin,163.53293484489572,-0.07966521085022982,8993854832.515177,457587000000.0,1.965496142266974
2018-02-01,Litecoin,161.40740610710998,-0.012997557585581854,8879163932.691711,449748000000.0,1.9742531223466722
2018-02-02,Litecoin,141.66168195711376,-0.1223346847968857,7795087469.291743,441253000000.0,1.7665800502867388
2018-02-03,Litecoin,131.38437864518806,-0.07254822313232889,7231410390.144046,432759000000.0,1.6710017330994955
2018-02-04,Litecoin,154.25836575875746,0.17409974724120025,8492714843.211039,424264000000.0,2.0017524096343404
2018-02-05,Litecoin,150.93136565392322,-0.021567712638919656,8311840566.706314,415770000000.0,1.9991438936686905
2018-02-06,Litecoin,122.64490593121053,-0.1874127329343318,6755956946.832945,407275000000.0,1.6588194578191506
2018-02-07,Litecoin,142.43933220906135,0.1613962367825792,7848664735.031914,398780000000.0,1.9681690995114884
2018-02-08,Litecoin,137.9204765035132,-0.03172477457922729,7601657118.438661,390286000000.0,1.947714526895318
2018-02-09,Litecoin,148.41948563885336,0.07612364314208775,8182642006.674303,402585000000.0,2.03252530687291
2018-02-10,Litecoin,161.6947813385785,0.08944442599691871,8916910637.385239,414884000000.0,2.1492539209478405
2018-02-11,Litecoin,154.9247190879229,-0.04186939241087517,8545695221.703306,427182000000.0,2.000481111494236
2018-02-12,Litecoin,151.2637896613063,-0.02363037640583976,8345961896.699185,439481000000.0,1.89904953722668
2018-02-13,Litecoin,161.94280960057674,0.07059865393549747,8937543985.993507,451780000000.0,1.9782956275163812
2018-02-14,Litecoin,157.89287775151092,-0.02500840796238346,8716402580.29825,464079000000.0,1.8782152565184482
2018-02-15,Litecoin,213.36148733637165,0.35130533039087597,11781668350.528023,476378000000.0,2.4731764167379735
2018-02-16,Litecoin,222.37258406353027,0.04223394221541166,12282473493.999687,470022000000.0,2.6131699141741636
2018-02-17,Litecoin,230.52047844463652,0.03664073255891309,12735768422.2133,463667000000.0,2.746748943145253
2018-02-18,Litecoin,228.94665006300065,-0.0068272822972379466,12652292001.337309,457311000000.0,2.766671259020078
2018-02-19,Litecoin,215.04200208501157,-0.060733135750895895,11887131143.941652,450955000000.0,2.6359905409501287
2018-02-20,Litecoin,221.2380112403237,0.028813018364954868,12232793444.509125,444600000000.0,2.7514155295792
2018-02-21,Litecoin,238.10229455235316,0.07622687989954113,13168725509.62535,438244000000.0,3.004884381674444
2018-02-22,Litecoin,195.01004383093073,-0.18098208924209858,10791204102.037224,431889000000.0,2.498605915417439
2018-02-23,Litecoin,196.23733071027596,0.006293454712564817,10859049373.281689,435217000000.0,2.4950885129215283
2018-02-24,Litecoin,210.5902174080594,0.07314045011636439,11656580869.181772,438545000000.0,2.658012488839634
2018-02-25,Litecoin,205.44276547995244,-0.02444297741586343,11374489300.344664,441873000000.0,2.5741535011971
2018-02-26,Litecoin,220.4504679459149,0.07305052787281996,12208488054.569826,445201000000.0,2.7422418311211847
2018-02-27,Litecoin,222.09043679020078,0.007439171527130695,12302529402.628155,448529000000.0,2.7428615323932575
2018-02-28,Litecoin,216.56032201230792,-0.024900283226138686,11999289748.709589,451857000000.0,2.6555502622974942
2018-03-01,Litecoin,202.5579971755472,-0.06465785009298664,11226408945.573835,455185000000.0,2.4663398278884046
2018-03-02,Litecoin,208.068867653321,0.02720638313281598,11534814313.360233,444346000000.0,2.5959082141754926
2018-03-03,Litecoin,207.33383898155404,-0.003532622059498336,11497139898.02754,433508000000.0,2.652117123104427
2018-03-04,Litecoin,208.90135931017662,0.007560368998724032,11587211706.078182,422669000000.0,2.7414387395522697
2018-03-05,Litecoin,208.62671623160827,-0.0013147022090964633,11574869956.791336,411830000000.0,2.810594166717174
2018-03-06,Litecoin,209.13154326128938,0.0024197621416841564,11606285560.01051,400992000000.0,2.89439329463194
2018-03-07,Litecoin,196.15977572965588,-0.06202683406503895,10889492366.954939,390153000000.0,2.7910825668276136
2018-03-08,Litecoin,186.47459512905934,-0.04937393797770495,10354730264.309595,379315000000.0,2.7298499306142903
2018-03-09,Litecoin,177.34794524734002,-0.048943127482876436,9850500058.741514,372711000000.0,2.6429324754948245
2018-03-10,Litecoin,187.87383173525023,0.05935161229655184,10437545461.8415,366107000000.0,2.85095490166577
2018-03-11,Litecoin,179.36873844671376,-0.045270239127936485,9967721329.733467,359504000000.0,2.7726315506179255
2018-03-12,Litecoin,187.46039401005817,0.04511184966464077,10420083105.53318,352900000000.0,2.9527013617266022
2018-03-13,Litecoin,179.01254521329594,-0.045064712689705355,9953190242.357676,346297000000.0,2.8741774379673157
2018-03-14,Litecoin,175.52492825736093,-0.019482528175773783,9761938417.509272,339693000000.0,2.87375318817558
2018-03-15,Litecoin,161.9014114652223,-0.07761585164793983,9006519825.724773,333090000000.0,2.703929816483465
2018-03-16,Litecoin,165.90464963150686,0.024726394477076363,9231578581.44226,334214000000.0,2.762175905689846
2018-03-17,Litecoin,168.00631280821105,0.012667897984608878,9351114774.523937,335338000000.0,2.7885640084106
2018-03-18,Litecoin,155.74907564255088,-0.07295700358386248,8671155503.183376,336462000000.0,2.577157451118812
